validator,stake,plain_pct,basic_pct,multidim_pct,slashed,collusion_flags,detected_at
Alice,3,9.05,10.54,10.83,false,0,
Bob,8,13.95,14.19,13.44,false,0,
Charlie,4,9.95,11.01,10.19,false,1010,65
Dave,3,9.21,9.9,9.11,false,0,
Eve,5,11.82,0.03,0.01,true,0,5
Frank,4,10.47,12.03,11.86,false,0,
Grace,3,8.95,10.86,11,false,0,
Heera,3,11.04,12.12,11.39,false,0,
Iyer,5,11.18,12.2,15.43,false,0,
Jai,1,4.38,7.12,6.74,false,0,
